"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30349","GA","Atlanta-Sandy Springs-Roswell, GA",1451,9,9.14634146341463,75,5.19480519480519,5.51724137931035
"Zip","30044","GA","Atlanta-Sandy Springs-Roswell, GA",1531,9,11.368909512761,60,3.11688311688312,5.51724137931035
"Zip","30043","GA","Atlanta-Sandy Springs-Roswell, GA",1552,9,15.948275862069,57,6.23376623376623,5.51724137931035
"Zip","30096","GA","Atlanta-Sandy Springs-Roswell, GA",1618,9,14.4578313253012,57,4.80519480519481,5.51724137931035
"Zip","30024","GA","Atlanta-Sandy Springs-Roswell, GA",1656,9,16.1290322580645,65,8.7012987012987,5.51724137931035
"Zip","30281","GA","Atlanta-Sandy Springs-Roswell, GA",1742,9,9.55414012738854,58,1.23376623376623,5.51724137931035
"Zip","30040","GA","Atlanta-Sandy Springs-Roswell, GA",1846,9,16.3358778625954,72,9.48051948051948,5.51724137931035
"Zip","30318","GA","Atlanta-Sandy Springs-Roswell, GA",1886,9,11.8483412322275,55,2.07792207792208,5.51724137931035
"Zip","30188","GA","Atlanta-Sandy Springs-Roswell, GA",1888,9,11.0859728506787,57,1.88311688311688,5.51724137931035
"Zip","30080","GA","Atlanta-Sandy Springs-Roswell, GA",1972,9,15.2694610778443,63,7.79220779220779,5.51724137931035
"Zip","30041","GA","Atlanta-Sandy Springs-Roswell, GA",1973,9,14.2307692307692,77,9.28571428571429,5.51724137931035
"Zip","30052","GA","Atlanta-Sandy Springs-Roswell, GA",1977,9,11.6322701688555,64,5.06493506493506,5.51724137931035
"Zip","30062","GA","Atlanta-Sandy Springs-Roswell, GA",2002,9,14.2487046632124,62.5,7.14285714285714,5.51724137931035
"Zip","30331","GA","Atlanta-Sandy Springs-Roswell, GA",2009,9,10.4956268221574,73,6.49350649350649,5.51724137931035
"Zip","30022","GA","Atlanta-Sandy Springs-Roswell, GA",2071,9,15.5672823218997,65,8.37662337662338,5.51724137931035
"Zip","30004","GA","Atlanta-Sandy Springs-Roswell, GA",2116,9,13.5303265940902,71.5,8.50649350649351,5.51724137931035
"Zip","30127","GA","Atlanta-Sandy Springs-Roswell, GA",2130,9,11.0552763819095,59,2.66233766233766,5.51724137931035
"Zip","30135","GA","Atlanta-Sandy Springs-Roswell, GA",2184,9,12.3255813953488,62,4.61038961038961,5.51724137931035
"Zip","30253","GA","Atlanta-Sandy Springs-Roswell, GA",2236,9,8.67678958785249,77,5,5.51724137931035
"Zip","30263","GA","Atlanta-Sandy Springs-Roswell, GA",2341,9,9.81308411214953,62.5,2.72727272727273,5.51724137931035
"Zip","30066","GA","Atlanta-Sandy Springs-Roswell, GA",2363,9,13.6986301369863,55,3.50649350649351,5.51724137931035
"Zip","30058","GA","Atlanta-Sandy Springs-Roswell, GA",2434,9,7.86516853932584,72,3.37662337662338,5.51724137931035
"Zip","30101","GA","Atlanta-Sandy Springs-Roswell, GA",2443,9,11.4973262032086,54.5,1.62337662337662,5.51724137931035
"Zip","30047","GA","Atlanta-Sandy Springs-Roswell, GA",2464,9,9.27835051546392,59,1.49350649350649,5.51724137931035
"Zip","30083","GA","Atlanta-Sandy Springs-Roswell, GA",2467,9,10.6870229007634,57.5,1.94805194805195,5.51724137931035
"Zip","30075","GA","Atlanta-Sandy Springs-Roswell, GA",2532,9,13.4259259259259,70,8.05194805194805,5.51724137931035
"Zip","30067","GA","Atlanta-Sandy Springs-Roswell, GA",2568,9,15.1898734177215,59,6.75324675324675,5.51724137931035
"Zip","30144","GA","Atlanta-Sandy Springs-Roswell, GA",2603,9,10.6194690265487,50,0.779220779220779,5.51724137931035
"Zip","30114","GA","Atlanta-Sandy Springs-Roswell, GA",2666,9,11.3801452784504,70,6.68831168831169,5.51724137931035
"Zip","30319","GA","Atlanta-Sandy Springs-Roswell, GA",2721,9,12.2916666666667,68,6.88311688311688,5.51724137931035
"Zip","30016","GA","Atlanta-Sandy Springs-Roswell, GA",2904,9,9.09090909090909,78,5.90909090909091,5.51724137931035
"Zip","30032","GA","Atlanta-Sandy Springs-Roswell, GA",2983,9,17.5182481751825,68,9.15584415584416,5.51724137931035
"Zip","30236","GA","Atlanta-Sandy Springs-Roswell, GA",3040,9,12.6126126126126,69.5,7.46753246753247,5.51724137931035
"Zip","30093","GA","Atlanta-Sandy Springs-Roswell, GA",3130,9,10.958904109589,45,0.844155844155844,5.51724137931035
"Zip","30064","GA","Atlanta-Sandy Springs-Roswell, GA",3168,9,13.8513513513514,57,4.41558441558442,5.51724137931035
"Zip","30518","GA","Atlanta-Sandy Springs-Roswell, GA",3199,9,13.5977337110482,69,7.92207792207792,5.51724137931035
"Zip","30309","GA","Atlanta-Sandy Springs-Roswell, GA",3201,9,6.84039087947883,54.5,0.194805194805195,5.51724137931035
"Zip","30076","GA","Atlanta-Sandy Springs-Roswell, GA",3356,9,17.6470588235294,62,8.31168831168831,5.51724137931035
"Zip","30034","GA","Atlanta-Sandy Springs-Roswell, GA",3402,9,11.4583333333333,69,6.42857142857143,5.51724137931035
"Zip","30097","GA","Atlanta-Sandy Springs-Roswell, GA",3406,9,13.4770889487871,76.5,8.83116883116883,5.51724137931035
"Zip","30324","GA","Atlanta-Sandy Springs-Roswell, GA",3435,9,12.5850340136054,57,2.85714285714286,5.51724137931035
"Zip","30339","GA","Atlanta-Sandy Springs-Roswell, GA",3481,9,17.3913043478261,63,8.63636363636364,5.51724137931035
"Zip","30350","GA","Atlanta-Sandy Springs-Roswell, GA",3622,9,13.6563876651982,57.5,4.54545454545455,5.51724137931035
"Zip","30519","GA","Atlanta-Sandy Springs-Roswell, GA",3693,9,11.7043121149897,66,5.84415584415584,5.51724137931035
"Zip","30328","GA","Atlanta-Sandy Springs-Roswell, GA",3710,9,10.5540897097625,66.5,4.48051948051948,5.51724137931035
"Zip","30120","GA","Atlanta-Sandy Springs-Roswell, GA",3735,9,12.4497991967871,63,5.61688311688312,5.51724137931035
"Zip","30228","GA","Atlanta-Sandy Springs-Roswell, GA",3757,9,5.80762250453721,79,4.09090909090909,5.51724137931035
"Zip","30039","GA","Atlanta-Sandy Springs-Roswell, GA",3760,9,10.1045296167247,57,1.1038961038961,5.51724137931035
"Zip","30680","GA","Atlanta-Sandy Springs-Roswell, GA",3783,9,7.1875,62.5,0.974025974025974,5.51724137931035
